2023-04-26 17:13:04.771945, 2023-04-26 17:13:04.988953
2023-04-26 17:13:05.090908, 2023-04-26 17:13:05.302755
2023-04-26 17:13:05.403375, 2023-04-26 17:13:05.652562
2023-04-26 17:13:05.753121, 2023-04-26 17:13:06.037135
2023-04-26 17:13:06.138596, 2023-04-26 17:13:06.401153
2023-04-26 17:13:06.501397, 2023-04-26 17:13:06.704253
2023-04-26 17:13:06.804551, 2023-04-26 17:13:07.007758
2023-04-26 17:13:07.107997, 2023-04-26 17:13:07.321287
2023-04-26 17:13:07.421782, 2023-04-26 17:13:07.664671
2023-04-26 17:13:07.764933, 2023-04-26 17:13:07.967947
2023-04-26 17:13:08.069361, 2023-04-26 17:13:08.302004
2023-04-26 17:13:08.402239, 2023-04-26 17:13:08.628172
2023-04-26 17:13:08.728502, 2023-04-26 17:13:08.931386
2023-04-26 17:13:09.031910, 2023-04-26 17:13:09.246221
2023-04-26 17:13:09.346464, 2023-04-26 17:13:09.549179
2023-04-26 17:13:09.649548, 2023-04-26 17:13:09.852905
2023-04-26 17:13:09.953221, 2023-04-26 17:13:10.180587
2023-04-26 17:13:10.280906, 2023-04-26 17:13:10.483749
2023-04-26 17:13:10.584362, 2023-04-26 17:13:10.871287
2023-04-26 17:13:10.971581, 2023-04-26 17:13:11.178739
2023-04-26 17:13:11.279216, 2023-04-26 17:13:11.482207
2023-04-26 17:13:11.582446, 2023-04-26 17:13:11.798327
2023-04-26 17:13:11.898757, 2023-04-26 17:13:12.102078
2023-04-26 17:13:12.202341, 2023-04-26 17:13:12.405159
2023-04-26 17:13:12.505576, 2023-04-26 17:13:12.758837
2023-04-26 17:13:12.859524, 2023-04-26 17:13:13.107322
2023-04-26 17:13:13.207739, 2023-04-26 17:13:13.410783
2023-04-26 17:13:13.510942, 2023-04-26 17:13:13.713672
2023-04-26 17:13:13.813959, 2023-04-26 17:13:14.016688
2023-04-26 17:13:14.117324, 2023-04-26 17:13:14.376266
2023-04-26 17:13:14.476486, 2023-04-26 17:13:14.679426
2023-04-26 17:13:14.779804, 2023-04-26 17:13:14.982661
2023-04-26 17:13:15.082891, 2023-04-26 17:13:15.373609
2023-04-26 17:13:15.473896, 2023-04-26 17:13:15.677066
2023-04-26 17:13:15.777454, 2023-04-26 17:13:16.026294
2023-04-26 17:13:16.126551, 2023-04-26 17:13:16.329528
2023-04-26 17:13:16.429715, 2023-04-26 17:13:16.634382
2023-04-26 17:13:16.734674, 2023-04-26 17:13:16.938143
2023-04-26 17:13:17.038983, 2023-04-26 17:13:17.341359
2023-04-26 17:13:17.441588, 2023-04-26 17:13:17.645410
2023-04-26 17:13:17.745923, 2023-04-26 17:13:17.949913
2023-04-26 17:13:18.050221, 2023-04-26 17:13:18.253597
2023-04-26 17:13:18.353984, 2023-04-26 17:13:18.556691
2023-04-26 17:13:18.656970, 2023-04-26 17:13:18.860033
2023-04-26 17:13:18.960316, 2023-04-26 17:13:19.163085
2023-04-26 17:13:19.263341, 2023-04-26 17:13:19.469370
2023-04-26 17:13:19.569618, 2023-04-26 17:13:19.786221
2023-04-26 17:13:19.886510, 2023-04-26 17:13:20.106545
2023-04-26 17:13:20.206842, 2023-04-26 17:13:20.409912
2023-04-26 17:13:20.510138, 2023-04-26 17:13:20.717114
2023-04-26 17:13:20.817452, 2023-04-26 17:13:21.037358
2023-04-26 17:13:21.137588, 2023-04-26 17:13:21.341158
2023-04-26 17:13:21.441552, 2023-04-26 17:13:21.644805
2023-04-26 17:13:21.745064, 2023-04-26 17:13:21.949875
2023-04-26 17:13:22.050212, 2023-04-26 17:13:22.287716
2023-04-26 17:13:22.387886, 2023-04-26 17:13:22.493987
2023-04-26 17:13:22.594396, 2023-04-26 17:13:22.838822
2023-04-26 17:13:22.939144, 2023-04-26 17:13:23.142051
2023-04-26 17:13:23.242343, 2023-04-26 17:13:23.480152
2023-04-26 17:13:23.580492, 2023-04-26 17:13:23.783320
2023-04-26 17:13:23.883754, 2023-04-26 17:13:24.087175
2023-04-26 17:13:24.187342, 2023-04-26 17:13:24.390229
2023-04-26 17:13:24.490589, 2023-04-26 17:13:24.697911
2023-04-26 17:13:24.798224, 2023-04-26 17:13:25.132638
2023-04-26 17:13:25.232949, 2023-04-26 17:13:25.467044
2023-04-26 17:13:25.567360, 2023-04-26 17:13:25.770004
2023-04-26 17:13:25.870251, 2023-04-26 17:13:26.179152
2023-04-26 17:13:26.279515, 2023-04-26 17:13:26.486231
2023-04-26 17:13:26.586486, 2023-04-26 17:13:26.792484
2023-04-26 17:13:26.892986, 2023-04-26 17:13:27.098532
2023-04-26 17:13:27.198777, 2023-04-26 17:13:27.443387
2023-04-26 17:13:27.543684, 2023-04-26 17:13:27.934584
2023-04-26 17:13:28.035081, 2023-04-26 17:13:28.246053
2023-04-26 17:13:28.347021, 2023-04-26 17:13:28.572929
2023-04-26 17:13:28.673151, 2023-04-26 17:13:28.902813
2023-04-26 17:13:29.003397, 2023-04-26 17:13:29.476579
2023-04-26 17:13:29.577470, 2023-04-26 17:13:29.780599
2023-04-26 17:13:29.881125, 2023-04-26 17:13:30.089535
2023-04-26 17:13:30.189743, 2023-04-26 17:13:30.613944
2023-04-26 17:13:30.714692, 2023-04-26 17:13:30.917807
2023-04-26 17:13:31.018349, 2023-04-26 17:13:31.237956
2023-04-26 17:13:31.338087, 2023-04-26 17:13:31.542700
2023-04-26 17:13:31.643056, 2023-04-26 17:13:31.927049
2023-04-26 17:13:32.027538, 2023-04-26 17:13:32.231942
2023-04-26 17:13:32.332520, 2023-04-26 17:13:32.596691
2023-04-26 17:13:32.697269, 2023-04-26 17:13:32.907663
2023-04-26 17:13:33.008610, 2023-04-26 17:13:33.384552
2023-04-26 17:13:33.484962, 2023-04-26 17:13:33.766526
2023-04-26 17:13:33.867350, 2023-04-26 17:13:34.206837
2023-04-26 17:13:34.307299, 2023-04-26 17:13:34.655587
2023-04-26 17:13:34.759262, 2023-04-26 17:13:34.984415
2023-04-26 17:13:35.084820, 2023-04-26 17:13:35.293850
2023-04-26 17:13:35.394288, 2023-04-26 17:13:35.603300
2023-04-26 17:13:35.703709, 2023-04-26 17:13:36.229182
2023-04-26 17:13:36.329457, 2023-04-26 17:13:36.533429
2023-04-26 17:13:36.634682, 2023-04-26 17:13:36.847574
2023-04-26 17:13:36.948193, 2023-04-26 17:13:37.234682
2023-04-26 17:13:37.335029, 2023-04-26 17:13:37.820807
2023-04-26 17:13:37.921764, 2023-04-26 17:13:38.131021
2023-04-26 17:13:38.231379, 2023-04-26 17:13:38.504764
2023-04-26 17:13:38.605177, 2023-04-26 17:13:38.900498
2023-04-26 17:13:39.001534, 2023-04-26 17:13:39.346019
2023-04-26 17:13:39.446362, 2023-04-26 17:13:39.650287
2023-04-26 17:13:39.751838, 2023-04-26 17:13:40.063795
2023-04-26 17:13:40.164085, 2023-04-26 17:13:40.367624
2023-04-26 17:13:40.468973, 2023-04-26 17:13:40.681213
2023-04-26 17:13:40.781629, 2023-04-26 17:13:40.987853
2023-04-26 17:13:41.089650, 2023-04-26 17:13:41.416999
2023-04-26 17:13:41.517755, 2023-04-26 17:13:42.027452
2023-04-26 17:13:42.129234, 2023-04-26 17:13:42.688030
2023-04-26 17:13:42.788568, 2023-04-26 17:13:43.025965
2023-04-26 17:13:43.126296, 2023-04-26 17:13:43.336383
2023-04-26 17:13:43.436797, 2023-04-26 17:13:43.738331
2023-04-26 17:13:43.838634, 2023-04-26 17:13:44.043870
2023-04-26 17:13:44.144467, 2023-04-26 17:13:44.348583
2023-04-26 17:13:44.449015, 2023-04-26 17:13:44.800379
2023-04-26 17:13:44.900754, 2023-04-26 17:13:45.105865
2023-04-26 17:13:45.207569, 2023-04-26 17:13:45.410945
2023-04-26 17:13:45.511325, 2023-04-26 17:13:45.770874
2023-04-26 17:13:45.872211, 2023-04-26 17:13:46.407722
2023-04-26 17:13:46.508067, 2023-04-26 17:13:46.712424
2023-04-26 17:13:46.812715, 2023-04-26 17:13:47.131904
2023-04-26 17:13:47.232075, 2023-04-26 17:13:47.582529
2023-04-26 17:13:47.682985, 2023-04-26 17:13:47.892822
